GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201205230034,2012-05-23,"United States","Marietta","Unknown",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201205200025,2012-05-20,"United States","Axton","White extremists",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201205200024,2012-05-20,"United States","Lilburn","Unknown",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201205180007,2012-05-03,"Mexico","Veracruz","Unknown",0,,,,,4,0,Journalists & Media,,,North America,Hostage Taking (Kidnapping),,,Firearms,,,
201205170018,2012-05-17,"Mexico","Ciudad Obregon","Unknown",0,,,,,1,0,Journalists & Media,,,North America,Hostage Taking (Kidnapping),,,Firearms,,,
201205120013,2012-05-12,"Mexico","Cuernavaca","Unknown",0,,,,,1,0,Journalists & Media,,,North America,Hostage Taking (Kidnapping),,,Firearms,,,
201205110014,2012-05-11,"Mexico","Nuevo Laredo","Unknown",0,,,,,0,0,Journalists & Media,,,North America,Armed Assault,,,Explosives/Bombs/Dynamite,Firearms,,
201205100017,2012-05-10,"Mexico","Hermosillo","Unknown",0,,,,,0,1,Journalists & Media,,,North America,Unarmed Assault,,,Melee,,,
201205100003,2012-05-10,"Canada","Montreal","Force Etudiante Critique",0,,,,,0,0,Transportation,,,North America,Unarmed Assault,,,Other,,,
201204240017,2012-04-24,"Mexico","Nuevo Laredo","Unknown",0,,,,,0,0,Military,,,North America,Armed Assault,,,Firearms,,,
201204240016,2012-04-24,"Mexico","Nuevo Laredo","Unknown",0,,,,,0,1,Police,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201204010018,2012-04-01,"United States","Grand Chute","Anti-Abortion extremists",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201203250016,2012-03-25,"Mexico","Matamoros","Unknown",0,,,,,0,0,Journalists & Media,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201203190012,2012-03-19,"Mexico","Ciudad Victoria","Zetas",0,,,,,0,5,Journalists & Media,Private Citizens & Property,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201203180003,2012-03-18,"Mexico","Unknown","Unknown",0,,,,,7,0,Military,,,North America,Armed Assault,,,Firearms,,,
201201110038,2012-01-11,"United States","Rutherford","Anti-Semitic extremists",0,,,,,0,1,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201201060023,2012-01-06,"Mexico","Cadereyta Jimenez","Unknown",0,,,,,1,0,Journalists & Media,,,North America,Assassination,,,Firearms,,,
